,apt_names,apt_address,apt_price,apt_type,apt_link
154,Linden 43,"2810 W 43rd St W, Minneapolis, MN 55410","$2,995 - 5,125",1-2 Beds,https://www.apartments.com/expo-minneapolis-mn/90sk3p6/
155,The Mezz at West Lake Quarter - Now Open!,"3050 Abbott Ave, Minneapolis, MN 55416","$1,495 - 3,395",Studio - 2 Beds,https://www.apartments.com/expo-minneapolis-mn/90sk3p6/
156,Coze Flats,"628 University Ave SE, Minneapolis, MN 55414","$1,096 - 1,395",Studio - 1 Bed,https://www.apartments.com/expo-minneapolis-mn/90sk3p6/
157,Tula,"3009 Holmes Ave S, Minneapolis, MN 55408","$1,195 - 1,550",Studio - 1 Bed,https://www.apartments.com/the-duffey-minneapolis-mn/ffrh7ps/
158,N and E,"107 13th Ave NE, Minneapolis, MN 55413","$1,279 - 2,776",Studio - 2 Beds,https://www.apartments.com/the-duffey-minneapolis-mn/ffrh7ps/
159,724 Lofts,"724 N 1st St, Minneapolis, MN 55401","$1,695 - 3,195",2-3 Beds,https://www.apartments.com/the-duffey-minneapolis-mn/ffrh7ps/
160,2715 dupont ave S.,"2715 Dupont Ave S, Minneapolis, MN 55408","$1,049",1-2 Beds,https://www.apartments.com/the-duffey-minneapolis-mn/ffrh7ps/
161,Spectrum Apartments,"815 9th Ave SE, Minneapolis, MN 55414","$1,295 - 3,275",1-4 Beds,https://www.apartments.com/solhavn-soltva-nolo-flats-minneapolis-mn/tn2pnyb/
162,Grain Belt,"1215 Marshall St NE, Minneapolis, MN 55413","$1,435 - 2,922",Studio - 3 Beds,https://www.apartments.com/solhavn-soltva-nolo-flats-minneapolis-mn/tn2pnyb/
163,New Boston Square,"2015 NE Central Ave, Minneapolis, MN 55418","$1,725 - 1,775",2 Beds,https://www.apartments.com/solhavn-soltva-nolo-flats-minneapolis-mn/tn2pnyb/
164,Hiawatha Flats,"3625 E 43rd St, Minneapolis, MN 55406","$1,195 - 2,095",Studio - 2 Beds,https://www.apartments.com/solhavn-soltva-nolo-flats-minneapolis-mn/tn2pnyb/
165,Churchill,"111 Marquette Ave S, Minneapolis, MN 55401","$1,237 - 2,504",1-2 Beds,https://www.apartments.com/arrive-loring-park-minneapolis-mn/q8c4djx/
166,Courtyard,"2524 Highway 100 S, Minneapolis, MN 55416","$1,125 - 1,415",1-2 Beds,https://www.apartments.com/arrive-loring-park-minneapolis-mn/q8c4djx/
167,Fair Oaks Apartment Homes,"2421 3rd Ave S, Minneapolis, MN 55404","$1,165 - 1,550",1-2 Beds,https://www.apartments.com/arrive-loring-park-minneapolis-mn/q8c4djx/
168,Everlake Apartments,"2615 E 29th St, Minneapolis, MN 55406","$1,100 - 1,335",Studio - 2 Beds,https://www.apartments.com/maverick-north-loop-apartments-minneapolis-mn/yq0x0yv/
169,Lyndy Apartments,"2905 Harriet Ave S, Minneapolis, MN 55408","$1,162 - 3,552",Studio - 3 Beds,https://www.apartments.com/maverick-north-loop-apartments-minneapolis-mn/yq0x0yv/
170,Talo,"5100 Wayzata Blvd, Minneapolis, MN 55416","$1,682 - 5,792",Studio - 3 Beds,https://www.apartments.com/maverick-north-loop-apartments-minneapolis-mn/yq0x0yv/
171,The Metro Apartments,"90 S 9th St, Minneapolis, MN 55402","$1,150 - 1,895",Studio - 2 Beds,https://www.apartments.com/maverick-north-loop-apartments-minneapolis-mn/yq0x0yv/
172,East End,"240 Chicago Ave, Minneapolis, MN 55415","$1,322 - 3,710",Studio - 2 Beds,https://www.apartments.com/borealis-minneapolis-mn/vt278bd/
173,Brook Avenue Housing Cooperative,"1220 Brook Ave SE, Minneapolis, MN 55414","$1,079 - 2,495",Studio - 3 Beds,https://www.apartments.com/borealis-minneapolis-mn/vt278bd/
174,The Laurel,"1506 Laurel Ave, Minneapolis, MN 55403","$1,245",Studio - 1 Bed,https://www.apartments.com/borealis-minneapolis-mn/vt278bd/
175,Viridium Apartments,"721 N Third St, Minneapolis, MN 55401","$1,205 - 3,450",Studio - 3 Beds,https://www.apartments.com/borealis-minneapolis-mn/vt278bd/
176,Lime,"2904 Lyndale Ave S, Minneapolis, MN 55408","$1,162 - 3,531",1-2 Beds,https://www.apartments.com/gibson-apartments-minneapolis-mn/q8w0cyx/
177,Creamette Historic Lofts,"432 1st St N, Minneapolis, MN 55401",Call for Rent,1-2 Beds,https://www.apartments.com/gibson-apartments-minneapolis-mn/q8w0cyx/
178,Axon Green,"3140 Chowen Ave S, Minneapolis, MN 55416","$1,055 - 2,735",Studio - 2 Beds,https://www.apartments.com/gibson-apartments-minneapolis-mn/q8w0cyx/
179,Eitel Apartments,"1367 Willow St, Minneapolis, MN 55403","$1,107 - 2,937",Studio - 2 Beds,https://www.apartments.com/gibson-apartments-minneapolis-mn/q8w0cyx/
180,Cove at Linden Hills,"4261 Sheridan Ave S, Minneapolis, MN 55410","$995 - 1,695",Studio - 2 Beds,https://www.apartments.com/red-20-apartments-minneapolis-mn/zy7ff7w/
181,City Limits Apartments,"127 E 59th St, Minneapolis, MN 55419","$1,035 - 1,375",1-2 Beds,https://www.apartments.com/red-20-apartments-minneapolis-mn/zy7ff7w/
182,Fieldhouse,"805 15th Ave SE, Minneapolis, MN 55414","$699 - 1,630",1-5 Beds,https://www.apartments.com/red-20-apartments-minneapolis-mn/zy7ff7w/
183,"Stage Apartments, LLC","814-816 Hennepin Ave, Minneapolis, MN 55403","$799 - 1,200",Studio,https://www.apartments.com/red-20-apartments-minneapolis-mn/zy7ff7w/
184,Uptown Lake Apartments,"1212 W Lake St, Minneapolis, MN 55408","$1,366 - 5,276",Studio - 3 Beds,https://www.apartments.com/walkway-minneapolis-mn/tp4m9hb/
185,Isles East and West,"1101-1125 W 28th St, Minneapolis, MN 55408","$1,195 - 1,325",1-2 Beds,https://www.apartments.com/walkway-minneapolis-mn/tp4m9hb/
186,Era on Excelsior,"6860 Excelsior Blvd, Minneapolis, MN 55426","$1,035 - 2,225",Studio - 2 Beds,https://www.apartments.com/walkway-minneapolis-mn/tp4m9hb/
187,The Marshall,"515 14th Ave SE, Minneapolis, MN 55414","$735 - 1,330",1-4 Beds,https://www.apartments.com/walkway-minneapolis-mn/tp4m9hb/
188,Woodhaven,"6045 Lyndale Ave, Minneapolis, MN 55419","$970 - 1,870",Studio - 2 Beds,https://www.apartments.com/the-archive-minneapolis-mn/8z05mr1/
189,Fourth Street Cooperative,"1227 4th St SE, Minneapolis, MN 55414","$749 - 2,699",1-3 Beds,https://www.apartments.com/the-archive-minneapolis-mn/8z05mr1/
190,The Bryn,"2823 Wayzata Blvd, Minneapolis, MN 55405","$1,025 - 1,250",Studio - 1 Bed,https://www.apartments.com/the-archive-minneapolis-mn/8z05mr1/
191,Alden Apartments,"1205 Hawthorne Ave, Minneapolis, MN 55403",$925,Studio - 1 Bed,https://www.apartments.com/the-archive-minneapolis-mn/8z05mr1/
192,Brentwood Apartments,"117-127 W Grant St, Minneapolis, MN 55403",$845 - 945,Studio - 1 Bed,https://www.apartments.com/ox-op-apartments-minneapolis-mn/ggdyrcx/
193,Bridgewater Crossings,"2101-2020 21st Ave S, Minneapolis, MN 55404",$700 - 925,Studio - 1 Bed,https://www.apartments.com/ox-op-apartments-minneapolis-mn/ggdyrcx/
194,MoDI Apartments | Studios & 1-Bedrooms!,"2015 Lyndale Ave, Minneapolis, MN 55405","$1,085 - 1,580",Studio - 2 Beds,https://www.apartments.com/ox-op-apartments-minneapolis-mn/ggdyrcx/
195,The Buckingham / The Commodore / The Parkw...,"1500 LaSalle Ave, Minneapolis, MN 55403","$702 - 1,564",Studio - 2 Beds,https://www.apartments.com/ox-op-apartments-minneapolis-mn/ggdyrcx/
196,Windsor Gates,"6200 78th Ave N, Minneapolis, MN 55443","$910 - 1,410",1-2 Beds,https://www.apartments.com/the-station-at-malcolm-yards-minneapolis-mn/krwsxxb/
197,One Southdale Place,"6800 York Ave S, Edina, MN 55435","$1,595 - 3,600",Studio - 3 Beds,https://www.apartments.com/the-station-at-malcolm-yards-minneapolis-mn/krwsxxb/
198,Parkway 25,"4015 Highway 25, Saint Louis Park, MN 55416","$1,730 - 1,750",1-2 Beds,https://www.apartments.com/the-station-at-malcolm-yards-minneapolis-mn/krwsxxb/
199,Ellipse on Excelsior and E2,"3920 Excelsior Blvd, Saint Louis Park, MN 55416","$1,640 - 2,720",Studio - 2 Beds,https://www.apartments.com/the-station-at-malcolm-yards-minneapolis-mn/krwsxxb/
200,The Flats at West End,"5310 W 16th St, Saint Louis Park, MN 55416","$1,545 - 2,825",Studio - 2 Beds,https://www.apartments.com/one-ten-grant-minneapolis-mn/gkmpsdw/
201,The Edge of Uptown,"3025 Ottawa Ave S, Saint Louis Park, MN 55416","$1,250 - 1,630",Studio - 2 Beds,https://www.apartments.com/one-ten-grant-minneapolis-mn/gkmpsdw/
202,Highland Village Apartments,"845 Cleveland Ave S, Saint Paul, MN 55116","$1,149 - 1,675",1-2 Beds,https://www.apartments.com/one-ten-grant-minneapolis-mn/gkmpsdw/
203,808 Berry Place,"808 Berry St, Saint Paul, MN 55114","$1,261 - 4,740",Studio - 3 Beds,https://www.apartments.com/the-elysian-minneapolis-mn/cyqmn3e/
204,2700 University,"2700 University Ave W, Saint Paul, MN 55114","$1,300 - 2,881",Studio - 2 Beds,https://www.apartments.com/the-elysian-minneapolis-mn/cyqmn3e/
205,Park Glen,"4501 Park Glen Rd, Saint Louis Park, MN 55416","$1,210 - 2,130",Studio - 2 Beds,https://www.apartments.com/the-elysian-minneapolis-mn/cyqmn3e/
206,The Lucy Apartments | St. Paul,"2069 Marshall Ave, Saint Paul, MN 55104","$1,540 - 1,995",1-2 Beds,https://www.apartments.com/the-nic-on-fifth-minneapolis-mn/2sw9j29/
207,Beach South at the Lake,"4199 46th Ave N, Robbinsdale, MN 55422","$1,120 - 3,120",Studio - 4 Beds,https://www.apartments.com/the-nic-on-fifth-minneapolis-mn/2sw9j29/
208,Parkway Place,"4040 W 31st St, St Louis Park, MN 55416","$1,399",1-2 Beds,https://www.apartments.com/the-nic-on-fifth-minneapolis-mn/2sw9j29/
209,Rya at RF64,"6400 Richfield Pky, Richfield, MN 55423","$1,275 - 2,445",Studio - 3 Beds,https://www.apartments.com/the-nic-on-fifth-minneapolis-mn/2sw9j29/
210,Lyndale Plaza Apartments,"6401 Lyndale Ave S, Richfield, MN 55423","$1,700 - 2,200",2-3 Beds,https://www.apartments.com/the-bohen-minneapolis-mn/zp57wez/
211,The Chamberlain Apartments,"6630 Richfield Pky, Richfield, MN 55423","$1,130 - 2,465",Studio - 3 Beds,https://www.apartments.com/the-bohen-minneapolis-mn/zp57wez/
212,Park Trails Apartments,"4531 W 36 1/2 St, Saint Louis Park, MN 55416","$1,019 - 1,449",Studio - 2 Beds,https://www.apartments.com/the-bohen-minneapolis-mn/zp57wez/
213,Sonder House,"5801 N Xerxes Ave, Brooklyn Center, MN 55430","$1,242 - 1,717",1-3 Beds,https://www.apartments.com/the-bohen-minneapolis-mn/zp57wez/
214,3701 W Lake St,"Minneapolis, MN 55416","$1,120 - 1,150",1 Bed,https://www.apartments.com/tree-tops-minneapolis-mn/eyrc4nm/
215,Student | HERE Minneapolis,"2813 4th St SE, Minneapolis, MN 55414","$1,279 - 2,409",Studio - 2 Beds,https://www.apartments.com/tree-tops-minneapolis-mn/eyrc4nm/
216,Huck Apartments,"402 2nd St NE, Minneapolis, MN 55413","$1,195 - 2,095",Studio - 2 Beds,https://www.apartments.com/tree-tops-minneapolis-mn/eyrc4nm/
217,2901 James,"2901-2905 James Ave S, Minneapolis, MN 55408",Call for Rent,2 Beds,https://www.apartments.com/tree-tops-minneapolis-mn/eyrc4nm/
218,Sawyer Apartments,"338 2nd St NE, Minneapolis, MN 55413","$1,405 - 2,545",Studio - 2 Beds,https://www.apartments.com/vesi-minneapolis-mn/y3gy3ds/
219,The Shores,"3101 E Bde Maka Ska Pky, Minneapolis, MN 55408","$2,045 - 2,145",2 Beds,https://www.apartments.com/vesi-minneapolis-mn/y3gy3ds/
220,The Endurance,"725 8th St SE, Minneapolis, MN 55414","$1,190 - 1,295",Studio - 1 Bed,https://www.apartments.com/vesi-minneapolis-mn/y3gy3ds/
221,The Julia,"80 Broadway St NE, Minneapolis, MN 55413","$1,250 - 2,850",Studio - 2 Beds,https://www.apartments.com/vesi-minneapolis-mn/y3gy3ds/
