,apt_names,apt_address,apt_price,apt_type,apt_link
285,Blaise Apartments,"2645 1st Ave, Minneapolis, MN 55408","$1,075 - 1,095",Studio,https://www.apartments.com/zeo-minneapolis-mn/27x6qv8/
286,Thornton Place Apartments,"810 SE Thornton St, Minneapolis, MN 55414","$1,400 - 1,425",1-2 Beds,https://www.apartments.com/zeo-minneapolis-mn/27x6qv8/
287,7west,"1800 Washington Ave S, Minneapolis, MN 55454","$1,435 - 2,465",Studio - 2 Beds,https://www.apartments.com/zeo-minneapolis-mn/27x6qv8/
288,The Fremont,"2825 Fremont Ave S, Minneapolis, MN 55408","$985 - 1,575",Studio - 2 Beds,https://www.apartments.com/humboldt-terrace-minneapolis-mn/dqs4qlk/
289,Archer,"401 University Ave SE, Minneapolis, MN 55414","$1,250 - 1,400",Studio - 1 Bed,https://www.apartments.com/humboldt-terrace-minneapolis-mn/dqs4qlk/
290,The Original at West Lake Quarter,"3430 List Plz, Minneapolis, MN 55416","$1,820 - 3,960",Studio - 3 Beds,https://www.apartments.com/humboldt-terrace-minneapolis-mn/dqs4qlk/
291,430 Oak Grove,"430 Oak Grove St, Minneapolis, MN 55403","$1,275 - 2,645",1-2 Beds,https://www.apartments.com/humboldt-terrace-minneapolis-mn/dqs4qlk/
292,The Bessemer at Seward Commons,"2220 Snelling Ave, Minneapolis, MN 55404","$1,105 - 2,105",Studio - 2 Beds,https://www.apartments.com/junction-flats-minneapolis-mn/20fh2tc/
293,Oaks Hiawatha Station,"4540 Snelling Ave, Minneapolis, MN 55406","$997 - 1,982",Studio - 2 Beds,https://www.apartments.com/junction-flats-minneapolis-mn/20fh2tc/
294,Central Flats,"3251 Central Ave NE, Minneapolis, MN 55418","$1,185",1 Bed,https://www.apartments.com/junction-flats-minneapolis-mn/20fh2tc/
295,Oaks Station Place,"3550 E 46th St, Minneapolis, MN 55406","$1,165 - 1,865",Studio - 2 Beds,https://www.apartments.com/junction-flats-minneapolis-mn/20fh2tc/
296,2100 Aldrich,"2100 Aldrich Ave S, Minneapolis, MN 55405","$1,045 - 1,425",1-2 Beds,https://www.apartments.com/the-shale-minneapolis-mn/nln78nm/
297,MPA / Marcy Park Apartments,"1015 8th St, Minneapolis, MN 55414","$1,225 - 2,650",1-4 Beds,https://www.apartments.com/the-shale-minneapolis-mn/nln78nm/
298,Lowry Hill Apartments,"1770 Hennepin Ave, Minneapolis, MN 55403","$795 - 1,295",Studio - 1 Bed,https://www.apartments.com/the-shale-minneapolis-mn/nln78nm/
299,Karinsplass Apartments,"2015 Riverside Ave, Minneapolis, MN 55454","$1,260 - 1,420",1-2 Beds,https://www.apartments.com/the-shale-minneapolis-mn/nln78nm/
300,Motiv Apartments,"1006 W 24th St, Minneapolis, MN 55405","$1,245 - 1,795",1-2 Beds,https://www.apartments.com/elan-uptown-minneapolis-mn/8yxyz92/
301,Second Street Lofts,"129 N 2nd St, Minneapolis, MN 55401","$1,620 - 2,535",1-2 Beds,https://www.apartments.com/elan-uptown-minneapolis-mn/8yxyz92/
302,Mill City Apartments,"625 2nd St, Minneapolis, MN 55401","$1,280 - 2,025",Studio - 2 Beds,https://www.apartments.com/elan-uptown-minneapolis-mn/8yxyz92/
303,Allegro,"4440 Beard Ave S, Minneapolis, MN 55410","$1,200 - 1,500",Studio - 2 Beds,https://www.apartments.com/elan-uptown-minneapolis-mn/8yxyz92/
304,Granite Creek Apartments,"5555 Zealand Ave N, Minneapolis, MN 55428","$980 - 1,200",1-2 Beds,https://www.apartments.com/3828-apartments-minneapolis-mn/keg3ltc/
305,Minnehaha Apartments,"2923 E 34th St, Minneapolis, MN 55406",$889,Studio,https://www.apartments.com/3828-apartments-minneapolis-mn/keg3ltc/
306,Dinkytown Apartments,"519 10th Ave SE, Minneapolis, MN 55414","$900 - 1,180",1-2 Beds,https://www.apartments.com/3828-apartments-minneapolis-mn/keg3ltc/
307,2426 Blaisdell,"2426 Blaisdell Ave, Minneapolis, MN 55404",$795 - 895,Studio - 1 Bed,https://www.apartments.com/3828-apartments-minneapolis-mn/keg3ltc/
308,Aquila Flats,"8216 W 31st St, Minneapolis, MN 55426","$1,275",2 Beds,https://www.apartments.com/4marq-minneapolis-mn/4dgbv8l/
309,Station 38 Apartments,"3725 29th Ave S, Minneapolis, MN 55406","$1,125 - 1,965",Studio - 2 Beds,https://www.apartments.com/4marq-minneapolis-mn/4dgbv8l/
310,FIT,"515 E Grant St, Minneapolis, MN 55404","$1,195 - 1,850",Studio - 2 Beds,https://www.apartments.com/4marq-minneapolis-mn/4dgbv8l/
311,Hiawatha Haven,"3025 30th Ave S, Minneapolis, MN 55406",$795 - 875,Studio - 1 Bed,https://www.apartments.com/4marq-minneapolis-mn/4dgbv8l/
312,Riverside Flats,"940 Franklin Ter, Minneapolis, MN 55406","$1,070 - 1,400",1-2 Beds,https://www.apartments.com/the-venue-on-knox-minneapolis-mn/x8wlwtp/
313,Ridgewood Apartments,"441 Ridgewood Ave, Minneapolis, MN 55403",$795 - 925,Studio - 1 Bed,https://www.apartments.com/the-venue-on-knox-minneapolis-mn/x8wlwtp/
314,The Copham,"607 N Washington Ave, Minneapolis, MN 55401","$1,793 - 2,465",1-2 Beds,https://www.apartments.com/the-venue-on-knox-minneapolis-mn/x8wlwtp/
315,Lilium Apartments,"706 9th St S, Minneapolis, MN 55404","$899 - 1,399",Studio - 2 Beds,https://www.apartments.com/the-venue-on-knox-minneapolis-mn/x8wlwtp/
316,1919 Dupont,"1919 Dupont Ave S, Minneapolis, MN 55403",$860 - 945,Studio - 1 Bed,https://www.apartments.com/aberdeen-apartments-minneapolis-mn/wjvqy5l/
317,The Denn of Dinkytown,"815 13th Ave SE, Minneapolis, MN 55414","$975 - 1,000",1 Bed,https://www.apartments.com/aberdeen-apartments-minneapolis-mn/wjvqy5l/
